Skeleton	SMILES	SMARTS
Arboricininane	CCC1CCN(C2C1CC)CCC3=C2NC4=CC=CC=C43	[#6]-[#6]-[#6]1-[#6]-[#6]-[#7]2-[#6](-[#6]-1-[#6]-[#6])-[#6]1:[#6](-[#6]-[#6]-2):[#6]2:[#6](:[#7H]:1):[#6]:[#6]:[#6]:[#6]:2
Apogeissoschizane	CCC1C2CC3C4C(C5=CC=CC=C5N4CC2)CCN3C1	[#6]-[#6]-[#6]1-[#6]2-[#6]-[#6]3-[#6]4-[#6](-[#6]5:[#6]:[#6]:[#6]:[#6]:[#6]:5-[#7]-4-[#6]-[#6]-2)-[#6]-[#6]-[#7]-3-[#6]-1
Arboflorinane	O=C1NCC2CCCN3C2C1C4=C(CC3)C5=CC=CC=C5N4	[#8]=[#6]1-[#7]-[#6]-[#6]2-[#6]-[#6]-[#6]-[#7]3-[#6]-2-[#6]-1-[#6]1:[#6](-[#6]-[#6]-3):[#6]2:[#6]:[#6]:[#6]:[#6]:[#6]:2:[#7H]:1
Arboduridinane	C12NC3=CC=CC=C3C14CCN5CCC(C5C4)C2	[#6]12-[#7]-[#6]3:[#6]:[#6]:[#6]:[#6]:[#6]:3-[#6]-13-[#6]-[#6]-[#7]1-[#6]-[#6]-[#6](-[#6]-1-[#6]-3)-[#6]-2
Alstoscholactane	C12CCNCC1CCC(C3=C(N4)C=CC=C3)=C4C2	[#6]12-[#6]-[#6]-[#7]-[#6]-[#6]-1-[#6]-[#6]-[#6]1:[#6]3:[#6](:[#7H]:[#6]:1-[#6]-2):[#6]:[#6]:[#6]:[#6]:3
Mappianinane	C1(NC2=C3CCN(CC4C5CCOC4)C5C2)=C3C=CC=C1	[#6]12:[#7H]:[#6]3:[#6](-[#6]-[#6]-[#7]4-[#6]-[#6]5-[#6](-[#6]-[#6]-[#8]-[#6]-5)-[#6]-4-[#6]-3):[#6]:1:[#6]:[#6]:[#6]:[#6]:2
Meloteninane	CC1C2CCC(C34C2N(CCC1)CC4)NC5=C3C=CC=C5	[#6]-[#6]1-[#6]2-[#6]-[#6]-[#6]3-[#6]4(-[#6]-2-[#7](-[#6]-[#6]-[#6]-1)-[#6]-[#6]-4)-[#6]1:[#6](-[#7]-3):[#6]:[#6]:[#6]:[#6]:1
Iboluteninane	CCC1CC2CC3C1N(CCC34NC5=C(C=CC=C5)C4=O)C2	[#6]-[#6]-[#6]1-[#6]-[#6]2-[#6]-[#6]3-[#6]-1-[#7](-[#6]-[#6]-[#6]-31-[#7]-[#6]3:[#6](:[#6]:[#6]:[#6]:[#6]:3)-[#6]-1=[#8])-[#6]-2
Ervaoffinane	O=C1C2N(CCN3C4C2CC(CC4)C3)C5=C1C=CC=C5	[#8]=[#6]1-[#6]2-[#7](-[#6]-[#6]-[#7]3-[#6]4-[#6]-2-[#6]-[#6](-[#6]-[#6]-4)-[#6]-3)-[#6]2:[#6]-1:[#6]:[#6]:[#6]:[#6]:2
Nor-iboga	CCC1C2N3CC(C1)CC2C4=C(C5=C(C=CC=C5)N4)C3	[#6]-[#6]-[#6]1-[#6]2-[#7]3-[#6]-[#6](-[#6]-1)-[#6]-[#6]-2-[#6]1:[#6](:[#6]2:[#6](:[#6]:[#6]:[#6]:[#6]:2):[#7H]:1)-[#6]-3
Nor-seco-iboga	CCC1C2NCC(C1)CC2C3=CC4=C(C=CC=C4)N3	[#6]-[#6]-[#6]1-[#6]2-[#7]-[#6]-[#6](-[#6]-1)-[#6]-[#6]-2-[#6]1:[#6]:[#6]2:[#6](:[#6]:[#6]:[#6]:[#6]:2):[#7H]:1
Voatingginane	C1(NC23C4CCN2CC5CCCC3C5)=C4C=CC=C1	[#6]12-[#7]-[#6]34-[#6](-[#6]-[#6]-[#7]-3-[#6]-[#6]3-[#6]-[#6]-[#6]-[#6]-4-[#6]-3)-[#6]:1:[#6]:[#6]:[#6]:[#6]:2
Isoconolutinane	CCC12CCC34N(C5=CC=CC=C5C3CCN4CCC2)C1	[#6]-[#6]-[#6]12-[#6]-[#6]-[#6]34-[#7](-[#6]5:[#6]:[#6]:[#6]:[#6]:[#6]:5-[#6]-3-[#6]-[#6]-[#7]-4-[#6]-[#6]-[#6]-1)-[#6]-2
Hunteracinane	CCC1C[N+]23CCC4C5=C(C=CC=C5)NC24CC1CC3	[#6]-[#6]-[#6]1-[#6]-[#7+]23-[#6]-[#6]-[#6]4-[#6]5:[#6](:[#6]:[#6]:[#6]:[#6]:5)-[#7]-[#6]-2-4-[#6]-[#6]-1-[#6]-[#6]-3
Koumine	CCC12CNC3CC1CCC(NC4=C5C=CC=C4)C25C3	[#6]-[#6]-[#6]12-[#6]-[#7]-[#6]3-[#6]-[#6]-1-[#6]-[#6]-[#6]1-[#7]-[#6]4:[#6](:[#6]:[#6]:[#6]:[#6]:4)-[#6]-2-1-[#6]-3
Tacamane	CCC1CC2CCN3C4=C(CCN(C42)C1)C5=C3C=CC=C5	[#6]-[#6]-[#6]1-[#6]-[#6]2-[#6]-[#6]-[#7]3:[#6]4:[#6](-[#6]-[#6]-[#7](-[#6]-2-4)-[#6]-1):[#6]1:[#6]:3:[#6]:[#6]:[#6]:[#6]:1
Tronocarpinane	C1(CCNCC2(CCC3)CC3C4)=C2N4C5=C1C=CC=C5	[#6]12-[#6]-[#6]-[#7]-[#6]-[#6]34-[#6]-[#6]-[#6]-[#6](-[#6]-3)-[#6]-[#7](:[#6]:1-4):[#6]1:[#6]:2:[#6]:[#6]:[#6]:[#6]:1
Secodine	CCC1CCCN(CCC2=C(NC3=C2C=CC=C3)CC)C1	[#6]-[#6]-[#6]1-[#6]-[#6]-[#6]-[#7](-[#6]-[#6]-[#6]2:[#6](:[#7H]:[#6]3:[#6]:2:[#6]:[#6]:[#6]:[#6]:3)-[#6]-[#6])-[#6]-1
Meloscandoninane	CC1CC2(C34C5C(CCCN5CC4)1C2)CNC6=C3C=CC=C6	[#6]-[#6]1-[#6]-[#6]23-[#6]4(-[#6]5-[#6]-1(-[#6]-[#6]-[#6]-[#7]-5-[#6]-[#6]-4)-[#6]-2)-[#6]1:[#6](-[#7]-[#6]-3):[#6]:[#6]:[#6]:[#6]:1
Spirooxindole-eburna	CCC12CCCN3CCC4(N(C5=C(C4=O)C=CC=C5)CC2)C13	[#6]-[#6]-[#6]12-[#6]-[#6]-[#6]-[#7]3-[#6]-[#6]-[#6]4(-[#7](-[#6]5:[#6](-[#6]-4=[#8]):[#6]:[#6]:[#6]:[#6]:5)-[#6]-[#6]-1)-[#6]-2-3
Meloyuninane	CCC12CCN3C4=C(C(C5=CC=CC=C35)=O)CN(CCC2)C41	[#6]-[#6]-[#6]12-[#6]-[#6]-[#7]3:[#6]4:[#6](:[#6](:[#6]5:[#6]:[#6]:[#6]:[#6]:[#6]:3:5)=[#8])-[#6]-[#7](-[#6]-[#6]-[#6]-1)-[#6]-2-4
Gelsemamidane	NC1=C(C23CC4C5COC2CC5C(CC)CN4C3=O)C=CC=C1	[#7]-[#6]1:[#6](-[#6]23-[#6]-[#6]4-[#6]5-[#6]-[#8]-[#6]-2-[#6]-[#6]-5-[#6](-[#6]-[#6])-[#6]-[#7]-4-[#6]-3=[#8]):[#6]:[#6]:[#6]:[#6]:1
Humanteninane	O=C1NC2=C(C=CC=C2)C13CC4CC(C(CC)CN4)CC3	[#8]=[#6]1-[#7]-[#6]2:[#6](:[#6]:[#6]:[#6]:[#6]:2)-[#6]-12-[#6]-[#6]1-[#6]-[#6](-[#6](-[#6]-[#6])-[#6]-[#7]-1)-[#6]-[#6]-2
Seco-koumine	CNC1CC(CCC2NC3=C4C=CC=C3)C(CC)C24C1	[#6]-[#7]-[#6]1-[#6]-[#6]2-[#6]-[#6]-[#6]3-[#7]-[#6]4:[#6](:[#6]:[#6]:[#6]:[#6]:4)-[#6]-3(-[#6]-2-[#6]-[#6])-[#6]-1
Flabelliformidane	CCC1CNCC2C1CCC3=C(C4=C(N3)C=CC=C4)CC2	[#6]-[#6]-[#6]1-[#6]-[#7]-[#6]-[#6]2-[#6]-1-[#6]-[#6]-[#6]1:[#6](:[#6]3:[#6](:[#7H]:1):[#6]:[#6]:[#6]:[#6]:3)-[#6]-[#6]-2
Pandinane	C1(NC2C34CCN(C5CC6)C4C6C5C2)=C3C=CC=C1	[#6]12-[#7]-[#6]3-[#6]4(-[#6]-[#6]-[#7]5-[#6]6-[#6]-[#6]-[#6](-[#6]-4-5)-[#6]-6-[#6]-3)-[#6]:1:[#6]:[#6]:[#6]:[#6]:2
Cleavincathicane	CC1C2=NC3=C(C24C5C(C1)CN(CC5CC)CC4)C=CC=C3	[#6]-[#6]1-[#6]2=[#7]-[#6]3:[#6](-[#6]-24-[#6]2-[#6](-[#6]-1)-[#6]-[#7](-[#6]-[#6]-2-[#6]-[#6])-[#6]-[#6]-4):[#6]:[#6]:[#6]:[#6]:3
Cleavincaroseane	CCC(C1)C2CCN1CCC3C4=C(N=C32)C=CC=C4	[#6]-[#6]-[#6]1-[#6]-[#7]2-[#6]-[#6]-[#6]-1-[#6]1-[#6](-[#6]-[#6]-2)-[#6]2:[#6](-[#7]=1):[#6]:[#6]:[#6]:[#6]:2
Kopsifolane	C1(NC2C3CC4(C5C26CCN5CCC4)CC3)=C6C=CC=C1	[#6]12-[#7]-[#6]3-[#6]4-[#6]-[#6]5(-[#6]6-[#6]-3(-[#6]-[#6]-[#7]-6-[#6]-[#6]-[#6]-5)-[#6]:1:[#6]:[#6]:[#6]:[#6]:2)-[#6]-[#6]-4
Spirooxindole sarpagine	CCC(CN12)C3CC2C4(C(NC5=CC=CC=C54)=O)CC1C3	[#6]-[#6]-[#6]1-[#6]-[#7]2-[#6]3-[#6]-[#6]-1-[#6]-[#6]-2-[#6]-[#6]-31-[#6](-[#7]-[#6]2:[#6]:[#6]:[#6]:[#6]:[#6]:2-1)=[#8]
Meloyinane	CC12NC3=C(C=CC=C3)C1(CCN4CCC5)C4C65C(C)C2C6	[#6]-[#6]12-[#7]-[#6]3:[#6](:[#6]:[#6]:[#6]:[#6]:3)-[#6]-13-[#6]-[#6]-[#7]1-[#6]-[#6]-[#6]-[#6]4(-[#6]-3-1)-[#6](-[#6])-[#6]-2-[#6]-4
Cleavamine	CCC1CC2CCC3=C(CCN(C2)C1)C4=CC=CC=C4N3	[#6]-[#6]-[#6]1-[#6]-[#6]2-[#6]-[#6]-[#6]3:[#6](-[#6]-[#6]-[#7](-[#6]-2)-[#6]-1):[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1:[#7H]:3
Cleaisovincathicane	CCC12CC3CCC4=NC5=CC=CC=C5C14CCN(C2)C3	[#6]-[#6]-[#6]12-[#6]-[#6]3-[#6]-[#6]-[#6]4=[#7]-[#6]5:[#6]:[#6]:[#6]:[#6]:[#6]:5-[#6]-1-4-[#6]-[#6]-[#7](-[#6]-2)-[#6]-3
Cleavincazalidane	CCC1(C2)C[N+]34CC2CC(C4(OC)O1)C([N]C5=C6C=CC=C5)=C6CC3	[#6]-[#6]-[#6]12-[#6]-[#6]3-[#6]-[#7+]4(-[#6]-1)-[#6](-[#6](-[#6]-3)-[#6]1-[#7]-[#6]3:[#6](:[#6]:[#6]:[#6]:[#6]:3)-[#6]=1-[#6]-[#6]-4)(-[#8]-[#6])-[#8]-2
Ellipticinane	CC1=C2C=CN=CC2=C(C)C3=C1NC4=CC=CC=C43	[#6]-[#6]1:[#6]2:[#6]:[#6]:[#7]:[#6]:[#6]:2:[#6](-[#6]):[#6]2:[#6]:1:[#7H]:[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:2:1
Isopandolinane	CCC1(O)CN2CCC34C5=C(NC3=C(C)CC2(C4)C1)C=CC=C5	[#6]-[#6]-[#6]1(-[#8])-[#6]-[#7]2-[#6]-[#6]-[#6]34-[#6]5:[#6](-[#7]-[#6]-3=[#6](-[#6])-[#6]-[#6]-2(-[#6]-4)-[#6]-1):[#6]:[#6]:[#6]:[#6]:5
Seco-stemmadeninane	CC(C1=CC=CC=C1N2)=C2[C@@H](C)[C@@H](CCN(C)C/3)C3=C/C	[#6]-[#6]1:[#6]2:[#6]:[#6]:[#6]:[#6]:[#6]:2:[#7H]:[#6]:1-[#6@@H](-[#6])-[#6@H]1-[#6]-[#6]-[#7](-[#6])-[#6]/[#6]-1=[#6]/[#6]
Nor-seco-stemmadeninane	CC(C1=CC=CC=C1N2)=C2[C@@H](C)[C@@H](CCNC/3)C3=C/C	[#6]-[#6]1:[#6]2:[#6]:[#6]:[#6]:[#6]:[#6]:2:[#7H]:[#6]:1-[#6@@H](-[#6])-[#6@H]1-[#6]-[#6]-[#7]-[#6]/[#6]-1=[#6]/[#6]
Dinor-seco-stemmadeninane	C/C=C1[C@@H]([C@H](C)C2=CC3=CC=CC=C3N2)CC[N]C\1	[#6]/[#6]=[#6]1\[#6@@H](-[#6@H](-[#6])-[#6]2:[#6]:[#6]3:[#6]:[#6]:[#6]:[#6]:[#6]:3:[#7H]:2)-[#6]-[#6]-[#7]-[#6]-1
Mersidasinane	C12CCC(CCCN3CC4)C3C14C(C=CC=C5)=C5NC2	[#6]12-[#6]-[#6]-[#6]3-[#6]-[#6]-[#6]-[#7]4-[#6]-[#6]-[#6]-1(-[#6]-3-4)-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1-[#7]-[#6]-2
Naulafinane	O=C1C2CNCC3CCC(C4N1CCC5=C4NC6=C5C=CC=C6)C32	[#8]=[#6]1-[#6]2-[#6]-[#7]-[#6]-[#6]3-[#6]-[#6]-[#6](-[#6]4-[#7]-1-[#6]-[#6]-[#6]1:[#6]-4:[#7H]:[#6]4:[#6]:1:[#6]:[#6]:[#6]:[#6]:4)-[#6]-2-3
Lundurane	C12=C(C34CCN5CCCC56CCC3(N2)C4C6)C=CC=C1	[#6]12:[#6](-[#6]34-[#6]-[#6]-[#7]5-[#6]-[#6]-[#6]-[#6]-56-[#6]-[#6]-[#6]-3(-[#7]-1)-[#6]-4-[#6]-6):[#6]:[#6]:[#6]:[#6]:2
Angustinane	CCC1=CN=CC2=C1CC3N(CCC4=C3NC5=CC=CC=C45)C2	[#6]-[#6]-[#6]1:[#6]:[#7]:[#6]:[#6]2:[#6]:1-[#6]-[#6]1-[#7](-[#6]-[#6]-[#6]3:[#6]-1:[#7H]:[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:3:1)-[#6]-2
